latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-17.04296,28.57702,316.13,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,294.01,2.6,N
-17.04248,28.57189,307.23,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,293.3,2.72,N
-17.04204,28.5836,306.17,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,293.65,2.98,N
-17.0415,28.57825,312.66,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,293.7,3.33,N
-17.04098,28.57309,328.82,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,294.05,3.33,N
-17.04046,27.52122,307.24,0.49,0.65,2023-10-08,7,1,VIIRS,n,2.0NRT,293.97,2.6,N
-17.03656,28.57764,312.11,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,293.51,9.31,N
-17.03607,28.57242,316.21,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,293.52,5.28,N
-17.03509,28.57878,304.6,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,292.79,4.5,N
-17.03457,28.57363,304.1,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,293.84,4.5,N
-17.03405,28.56845,313.14,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,293.38,4.57,N
-17.02966,28.57301,352.74,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,296.65,5.28,N
-17.02917,28.56771,314.88,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,291.65,5.28,N
-17.02815,28.57408,349.41,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,297.18,4.5,N
-17.02763,28.56888,325.36,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,292.02,4.57,N
-17.02369,28.57832,316.77,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,293.38,1.92,N
-17.02321,28.57313,308.95,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,292.06,2.09,N
-17.02272,28.58442,304.42,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,292.2,0.94,N
-17.02222,28.5794,309.77,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,292.47,1.31,N
-17.0217,28.57419,304.92,0.57,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,291.74,1.31,N
-17.01963,28.60428,303.06,0.58,0.7,2023-10-08,7,1,VIIRS,n,2.0NRT,292.52,0.96,N
-17.01773,28.58365,302.61,0.58,0.69,2023-10-08,7,1,VIIRS,n,2.0NRT,291.6,1.92,N
-16.99597,28.64163,305.61,0.58,0.7,2023-10-08,7,1,VIIRS,n,2.0NRT,292.56,1.97,N
-16.98846,28.83521,306.1,0.6,0.7,2023-10-08,7,1,VIIRS,n,2.0NRT,294.74,1.75,N
-16.98808,28.83123,305.66,0.6,0.7,2023-10-08,7,1,VIIRS,n,2.0NRT,295.26,1.75,N
-16.98264,29.31904,308.89,0.64,0.72,2023-10-08,7,1,VIIRS,n,2.0NRT,291.38,1.94,N
-16.98013,29.32342,303.02,0.64,0.72,2023-10-08,7,1,VIIRS,n,2.0NRT,290.85,2.07,N
