"Product ID",Time,Satellite,F1,X,Y,Latitude,Longitude
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,324,593,406,-2.6283559432652,114.33747652888
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,337,601,555,-1.3264933612639,113.97176448719
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,337,602,555,-1.3284759436898,113.96299765075
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,321,603,442,-2.3299321964569,114.17816255204
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,321,604,442,-2.3319247258301,114.16939300683
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,347,613,446,-2.3144742118743,114.0825170111
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,333,614,447,-2.3076201822276,114.0717609657
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,333,618,451,-2.2802023618837,114.02873790691
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,333,618,452,-2.2713567269883,114.02675196812
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,327,619,452,-2.2733474813583,114.01798242291
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,346,635,455,-2.2786503619031,113.87170814583
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,336,635,456,-2.2698033122472,113.86972290757
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,345,636,455,-2.2806399824992,113.86293803922
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,336,636,456,-2.2717928512642,113.86095282903
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,322,679,367,-3.144931762675,113.66067459431
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,321,733,399,-2.9691726789805,113.12318842574
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,338,756,420,-2.8289153052472,112.87970157216
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,331,757,421,-2.8220453430105,112.86894469159
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,362,799,431,-2.8167620293836,112.48058208569
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,346,800,432,-2.8098857704421,112.46982762734
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,325,881,542,-1.9954175192733,111.54199323643
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,329,883,391,-3.3373656972186,111.82234605159
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,357,956,478,-2.7104320558078,111.00992054442
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,321,960,457,-2.9044231652495,111.01614198645
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,347,1038,561,-2.13606000885,110.12720179033
S3A_SL_1_RBT____20231005T143805_20231005T144004_20231006T225541_0119_104_124_5940_PS1_O_NT_004,"2023-10-05 14:38:05",S3A,325,1276,519,-2.9740414287172,108.11989067976
S3A_SL_1_RBT____20231005T145204_20231005T145504_20231007T004430_0179_104_125_0720_PS1_O_NT_004,"2023-10-05 14:52:04",S3A,323,1279,228,43.683752103862,95.01731857307
S3A_SL_1_RBT____20231005T162403_20231005T162703_20231007T021615_0179_104_126_0180_PS1_O_NT_004,"2023-10-05 16:24:03",S3A,337,820,915,19.107429642234,82.164007755026
S3A_SL_1_RBT____20231005T162403_20231005T162703_20231007T021615_0179_104_126_0180_PS1_O_NT_004,"2023-10-05 16:24:03",S3A,322,821,914,19.096653566235,82.156753018997
S3A_SL_1_RBT____20231005T162403_20231005T162703_20231007T021615_0179_104_126_0180_PS1_O_NT_004,"2023-10-05 16:24:03",S3A,337,821,915,19.105505320324,82.154722625469
S3A_SL_1_RBT____20231005T144304_20231005T144604_20231007T004432_0179_104_125_0180_PS1_O_NT_004,"2023-10-05 14:43:04",S3A,320,628,1071,20.835250339568,108.89874915033
S3A_SL_1_RBT____20231005T145504_20231005T145804_20231007T004433_0179_104_125_0900_PS1_O_NT_004,"2023-10-05 14:55:04",S3A,322,123,410,57.974754894791,107.09024865266
S3A_SL_1_RBT____20231005T145504_20231005T145804_20231007T004433_0179_104_125_0900_PS1_O_NT_004,"2023-10-05 14:55:04",S3A,322,123,411,57.983487538674,107.08856410358
S3A_SL_1_RBT____20231005T095206_20231005T095506_20231006T192849_0180_104_122_0900_PS1_O_NT_004,"2023-10-05 09:52:06",S3A,388,1473,554,56.050596722675,160.65099989047
S3A_SL_1_RBT____20231005T095206_20231005T095506_20231006T192849_0180_104_122_0900_PS1_O_NT_004,"2023-10-05 09:52:06",S3A,388,1473,555,56.058851193967,160.64431503425
S3A_SL_1_RBT____20231005T180803_20231005T181103_20231007T035325_0179_104_127_0360_PS1_O_NT_004,"2023-10-05 18:08:03",S3A,321,719,608,27.183152402336,56.048480192489
S3A_SL_1_RBT____20231005T180803_20231005T181103_20231007T035325_0179_104_127_0360_PS1_O_NT_004,"2023-10-05 18:08:03",S3A,349,725,308,24.520283962128,56.609550560824
S3A_SL_1_RBT____20231005T180803_20231005T181103_20231007T035325_0179_104_127_0360_PS1_O_NT_004,"2023-10-05 18:08:03",S3A,338,1041,494,25.54157022396,53.150164253596
S3A_SL_1_RBT____20231005T180803_20231005T181103_20231007T035325_0179_104_127_0360_PS1_O_NT_004,"2023-10-05 18:08:03",S3A,331,1041,717,27.509167242754,52.631056720312
S3A_SL_1_RBT____20231005T180803_20231005T181103_20231007T035325_0179_104_127_0360_PS1_O_NT_004,"2023-10-05 18:08:03",S3A,334,1042,494,25.53950034525,53.140478428605
S3A_SL_1_RBT____20231005T180803_20231005T181103_20231007T035325_0179_104_127_0360_PS1_O_NT_004,"2023-10-05 18:08:03",S3A,335,1073,745,27.68872410621,52.249366775277
S3A_SL_1_RBT____20231005T180803_20231005T181103_20231007T035325_0179_104_127_0360_PS1_O_NT_004,"2023-10-05 18:08:03",S3A,376,1074,746,27.695426909756,52.237117022103
